# Logfile created on 2025-11-10 13:20:02 +0000 by logger.rb/v1.4.3
2025-11-10 13:20:03 +0000: Memory Usage (453344K) : mempad_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453344K) : topvia1_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453344K) : topmetal1_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453504K) : topmetal1_pin has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453504K) : topmetal1_mask has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453504K) : topmetal1_filler has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453664K) : topmetal1_nofill has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453664K) : topmetal1_slit has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453664K) : topmetal1_text has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453664K) : topmetal1_noqrc has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453824K) : topmetal1_res has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453824K) : topmetal1_iprobe has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453824K) : topmetal1_diffprb has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453824K) : inldpwl_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453984K) : polyres_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453984K) : polyres_pin has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453984K) : vmim_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453984K) : nbulaycut_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454144K) : antmetal1_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454144K) : topvia2_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454144K) : topmetal2_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454144K) : topmetal2_pin has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454304K) : topmetal2_mask has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454304K) : topmetal2_filler has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454304K) : topmetal2_nofill has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454304K) : topmetal2_slit has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454464K) : topmetal2_text has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454464K) : topmetal2_noqrc has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454464K) : topmetal2_res has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454464K) : topmetal2_iprobe has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454624K) : topmetal2_diffprb has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454624K) : snsring_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454624K) : sensor_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454624K) : snsarms_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454784K) : snscmosvia_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454784K) : colwind_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454784K) : flm_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454944K) : hafniumox_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454944K) : memvia_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454944K) : thinfilmres_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454944K) : rfmem_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455104K) : norcx_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455104K) : norcx_m2m3 has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455104K) : norcx_m2m4 has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455104K) : norcx_m2m5 has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455264K) : norcx_m2tm1 has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455264K) : norcx_m2tm2 has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455264K) : norcx_m3m4 has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455264K) : norcx_m3m5 has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455424K) : norcx_m3tm1 has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455424K) : norcx_m3tm2 has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455424K) : norcx_m4m5 has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455424K) : norcx_m4tm1 has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455584K) : norcx_m4tm2 has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455584K) : norcx_m5tm1 has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455584K) : norcx_m5tm2 has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455584K) : norcx_tm1tm2 has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455744K) : norcx_m1sub has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455744K) : norcx_m2sub has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455744K) : norcx_m3sub has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455904K) : norcx_m4sub has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455904K) : norcx_m5sub has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455904K) : norcx_tm1sub has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (455904K) : norcx_tm2sub has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (456064K) : snsbotvia_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (456064K) : snstopvia_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (456064K) : deepvia_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (456064K) : fgetch_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (456224K) : ctrgat_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (456224K) : fgimp_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (456224K) : emwihv_drw has 0 polygons
